cena_m2,powierzchnia,rok_budowy,pietro,pietro_max,winda,balkon,taras,wspolrzedne_szerokosc,wspolrzedne_wysokosc,odleglosc_metro,odleglosc_centrum,agencja,spoldzielcze,remont,wykonczenie
18497.0,35.14,2018.0,1.0,4.0,1,1,0,52.23396,21.11251,4.984427521087397,7.254402815550002,1,0,0,0
23529.0,51.0,1968.0,2.0,4.0,1,1,0,52.26606,20.97057,0.5863997208476729,4.518245453706282,1,0,0,0
16900.0,52.0,1958.0,3.0,3.0,0,0,0,52.28087,20.95221,0.1771743393488123,6.580168193816573,1,0,0,0
21033.0,78.4,1952.0,3.0,5.0,1,0,0,52.222458900509,21.016775267798,0.67268522810967,1.2625779781445068,1,0,0,0
30727.0,55.0,2020.0,3.0,6.0,1,0,1,52.235543,20.9858457,0.7353175736012537,1.4400979657493729,1,0,0,0
19024.0,42.0,2018.0,5.0,17.0,0,1,0,52.24401,21.08635,3.009222692267407,5.636148146078637,1,0,0,0
13500.0,90.0,2020.0,3.0,3.0,1,1,1,52.2267797,21.138949,6.9430652679519325,9.06805707743153,0,0,0,0
27885.0,52.0,1956.0,6.0,7.0,1,1,0,52.2353661,21.0093007,0.1107393227681199,0.4619298613166493,1,0,0,0
17207.0,58.0,2014.0,4.0,8.0,1,1,0,52.19908,20.954572,3.1975371136567903,5.0470315812606765,1,0,0,0
14397.0,58.0,1977.0,9.0,15.0,1,1,0,52.1785,21.02036,0.7316495399282126,5.99760745258882,1,0,1,0
16325.0,53.6,2015.0,0.0,3.0,1,1,0,52.1635812,20.9922671,1.804658091611289,7.634711555588996,1,0,0,0
16014.0,104.91,2015.0,5.0,5.0,1,1,1,52.23906,21.14798,7.240911980739027,9.69954266251349,1,0,0,0
21250.0,40.0,2014.0,0.0,4.0,1,0,1,52.16158451968515,21.073723686477667,2.535011025181225,9.06061954669365,0,0,0,0
41481.0,35.92,2021.0,2.0,4.0,1,1,0,52.2392844,21.028744,0.1376142038138411,1.759484604505052,1,0,0,0
21043.0,47.0,2023.0,6.0,6.0,1,1,0,52.22805,20.88893,2.2247265274173897,7.987054414130049,1,0,0,0
16963.0,37.14,1973.0,8.0,10.0,1,1,0,52.2370724,20.9346659,0.3816131560611667,4.89751815764976,1,1,0,0
19155.0,45.68,2008.0,4.0,15.0,1,0,0,52.27988866,20.92060805,1.5661127524041405,7.90638333411066,1,0,0,0
11154.0,64.1,1990.0,9.0,11.0,1,1,0,52.2569331,20.9228987,1.847320810844932,6.317457488419465,1,0,0,0
14035.0,57.0,2015.0,2.0,3.0,1,1,0,52.3314255,20.9709311,5.532178035107554,11.341241828600356,0,0,0,0
18642.0,67.0,2001.0,5.0,12.0,1,1,0,52.13986845927053,21.0584470381592,0.1797411013970356,10.820090466799307,1,0,0,0
21429.0,49.0,1963.0,2.0,10.0,1,1,0,52.233658,21.011355,0.3201889630822148,0.42066973809401,1,1,0,0
26607.0,28.0,2017.0,4.0,7.0,1,1,0,52.2341,20.979,0.4291785553586877,1.8610653214371409,1,0,0,0
12690.0,126.0,2017.0,1.0,1.0,0,1,0,52.2830081,21.0641906,0.2242362455673441,6.941485477762795,1,0,0,1
21939.0,73.84,2017.0,8.0,14.0,1,1,0,52.2816481,20.9213221,1.4605632305592218,8.005038621399523,1,0,0,0
13669.0,80.4,2018.0,4.0,8.0,1,1,0,52.336154868700106,20.95065780944823,5.729295708459549,12.20864705711158,0,0,0,0
